"price:3990000, area:4100, bedrooms:4, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3010000, area:3240, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3010000, area:2835, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3010000, area:4600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3010000, area:5076, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3010000, area:3750, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3010000, area:3630, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:3, prefarea:no, furnishingstatus:semi-furnished"
"price:3003000, area:8050, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2975000, area:4352, bedrooms:4, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2961000, area:3000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2940000, area:5850, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2940000, area:4960, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2940000, area:3600, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2940000, area:3660, bedrooms:4, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2940000, area:3480, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:2940000, area:2700, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:2940000, area:3150, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2940000, area:6615, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2870000, area:3040, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2870000, area:3630, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2870000, area:6000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2870000, area:5400, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2852500, area:5200, bedrooms:4, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2835000, area:3300, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:2835000, area:4350, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2835000, area:2640, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:2800000, area:2650, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2800000, area:3960, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:2730000, area:6800, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2730000, area:4000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2695000, area:4000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2660000, area:3934, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2660000, area:2000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2660000, area:3630, bedrooms:3, bathrooms:3, stories:2, mainroad:no, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2660000, area:2800, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2660000, area:2430, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2660000, area:3480, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:2660000, area:4000, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2653000, area:3185, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2653000, area:4000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2604000, area:2910, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2590000, area:3600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2590000, area:4400, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2590000, area:3600, bedrooms:2, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:2520000, area:2880, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2520000, area:3180, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2520000, area:3000, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:2485000, area:4400, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2485000, area:3000, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2450000, area:3210, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2450000, area:3240, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2450000, area:3000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:2450000, area:3500, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2450000, area:4840, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2450000, area:7700, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2408000, area:3635, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2380000, area:2475, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:2380000, area:2787, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:2380000, area:3264, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2345000, area:3640, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2310000, area:3180, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2275000, area:1836, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:2275000, area:3970, bedrooms:1, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2275000, area:3970, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2240000, area:1950, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2233000, area:5300, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:2135000, area:3000, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2100000, area:2400, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2100000, area:3000, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:2100000, area:3360, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:1960000, area:3420, bedrooms:5, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:1890000, area:1700, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:1890000, area:3649, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:1855000, area:2990, bedrooms:2, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:unfurnished"
"price:1820000, area:3000, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:1767150, area:2400, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:1750000, area:3620, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:1750000, area:2910, bedrooms:3, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:1750000, area:3850, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
